0.807333,0.813636,0.808545,0.809758,0.809394,0.807697,0.810061,0.806242,0.809636,0.813212
0.807333,0.813636,0.808545,0.809758,0.809394,0.807697,0.810061,0.806242,0.809636,0.813212
0.807333,0.813636,0.808545,0.809758,0.809394,0.807697,0.810061,0.806242,0.809636,0.813212
0.807333,0.813636,0.808545,0.809758,0.809394,0.807697,0.810061,0.806242,0.809636,0.813212
0.807333,0.813636,0.808545,0.809758,0.809394,0.807697,0.810061,0.806242,0.809636,0.813212
0.020114,0.014372,0.013715,0.004748,0.014262,0.005903,0.020860,0.018139,0.013895,0.004846
0.022723,0.017030,0.007003,0.009688,0.013797,0.008574,0.020832,0.021879,0.018493,0.013511
0.008648,0.010688,0.006716,0.010942,0.018826,0.007790,0.010445,0.017720,0.011919,0.009690
0.005754,0.020711,0.003575,0.005261,0.017691,0.014828,0.016252,0.002883,0.000305,0.002915
0.008925,0.012659,0.004224,0.005363,0.013446,0.005604,0.021172,0.012737,0.020314,0.005078
0.589367,0.591179,0.585302,0.590865,0.582130,0.587404,0.594131,0.594957,0.588840,0.584673
0.559429,0.578349,0.574031,0.559406,0.552503,0.560265,0.581108,0.582274,0.557024,0.555915
0.426209,0.452484,0.255905,0.484902,0.441219,0.415390,0.440267,0.481887,0.431373,0.421602
0.511222,0.521271,0.516223,0.504516,0.439236,0.513491,0.519648,0.514372,0.519699,0.508930
0.544829,0.586758,0.581450,0.553542,0.580901,0.587031,0.572308,0.571004,0.545979,0.582623
